,name,homepage,resource,description,projectrank,show,category,github_id,labels,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank_placing,license,pypi_id,pypi_url,pypi_monthly_downloads,trending
18,dmgbuild,https://github.com/dmgbuild/dmgbuild,,macOS command line utility to build disk images.,24,True,miscellaneous,dmgbuild/dmgbuild,['written-in-python'],https://github.com/dmgbuild/dmgbuild,2017-07-27 09:41:54,2026-07-05 22:21:12,2026-07-05 22:21:10,564.0,5.0,45.0,8.0,242.0,4.0,43.0,201.0,,,,121016.0,,994.0,994.0,28.0,2.0,MIT,dmgbuild,https://pypi.org/project/dmgbuild,121016.0,
19,py2many,https://github.com/py2many/py2many,,Transpiler of Python to many other languages.,23,True,compilers,py2many/py2many,['written-in-python'],https://github.com/py2many/py2many,2021-01-24 03:19:12,2026-06-30 01:26:27,2026-06-30 01:26:19,1317.0,125.0,84.0,13.0,515.0,115.0,186.0,1288.0,2025-01-01 22:47:34,0.6,,367.0,4.0,36.0,36.0,20.0,3.0,MIT,py2many,https://pypi.org/project/py2many,367.0,
20,staticx,https://github.com/JonathonReinhart/staticx,,Create static executable from dynamic executable.,23,True,freezers,JonathonReinhart/staticx,"['written-in-c', 'written-in-python']",https://github.com/JonathonReinhart/staticx,2017-05-27 18:37:54,2026-05-06 04:54:40,2026-05-06 03:50:59,693.0,79.0,44.0,3.0,147.0,54.0,116.0,421.0,2026-04-23 05:19:42,0.14.2,261.0,46892.0,22.0,170.0,170.0,6.0,2.0,,staticx,https://pypi.org/project/staticx,46889.0,
21,cx_Freeze,https://github.com/marcelotduarte/cx_Freeze,,Creates standalone executables from Python scripts with the same performance as the original script. It is cross-..,22,True,freezers,marcelotduarte/cx_Freeze,['written-in-python'],https://github.com/marcelotduarte/cx_Freeze,2017-01-22 04:25:52,2026-07-09 04:40:13,2026-07-09 04:16:15,2729.0,59.0,240.0,26.0,2121.0,42.0,1028.0,1557.0,2026-04-13 05:59:38,8.6.4,,,100.0,,,125.0,2.0,,,,,
22,PyTauri,https://github.com/pytauri/pytauri,,Tauri binding for Python through Pyo3.,22,True,freezers,pytauri/pytauri,"['written-in-rust', 'written-in-python']",https://github.com/pytauri/pytauri,2024-10-16 15:19:48,2026-07-06 22:01:49,2025-09-10 12:34:29,249.0,,29.0,13.0,219.0,13.0,37.0,1397.0,2025-09-02 17:33:23,0.8.0,714.0,8823.0,80.0,15.0,15.0,5.0,2.0,Apache-2.0,pytauri,https://pypi.org/project/pytauri,8786.0,
23,Platypus,https://github.com/sveinbjornt/Platypus,,Create native macOS applications from command line scripts.,21,True,miscellaneous,sveinbjornt/Platypus,,https://github.com/sveinbjornt/Platypus,2011-03-28 02:18:11,2026-05-13 22:44:55,2026-04-27 23:47:15,1346.0,2.0,196.0,58.0,23.0,34.0,241.0,3416.0,2025-12-02 14:35:54,5.5.0,27350.0,297.0,4.0,,,15.0,2.0,BSD-3-Clause,,,,
24,Shed Skin,https://github.com/shedskin/shedskin,,Shed Skin is a restricted-Python-to-C++ compiler. Read the introduction below to learn about the restrictions.,20,True,compilers,shedskin/shedskin,['written-in-python'],https://github.com/shedskin/shedskin,2010-07-02 20:21:59,2026-07-09 13:33:29,2026-07-03 07:06:49,5460.0,31.0,115.0,39.0,321.0,103.0,416.0,986.0,2026-04-08 11:17:31,0.9.12,15463.0,114.0,30.0,,,28.0,3.0,,,,,
25,pyapp,https://github.com/ofek/pyapp,,Runtime installer for Python applications.,19,True,launchers,ofek/pyapp,['written-in-rust'],https://github.com/ofek/pyapp,2023-05-07 20:56:04,2026-06-26 04:45:20,2026-06-26 04:45:20,186.0,2.0,58.0,9.0,150.0,27.0,43.0,1981.0,2025-10-15 06:39:23,0.29.0,119664.0,3149.0,34.0,63.0,63.0,14.0,1.0,,,,,
26,pynsist,https://github.com/takluyver/pynsist,,Build Windows installers for Python applications.,19,True,freezers,takluyver/pynsist,['written-in-python'],https://github.com/takluyver/pynsist,2014-03-30 19:11:21,2025-01-05 12:10:01,2025-01-05 12:09:52,568.0,,124.0,32.0,93.0,29.0,147.0,992.0,,,,7526.0,,259.0,259.0,31.0,3.0,,pynsist,https://pypi.org/project/pynsist,7526.0,-1.0
27,shiv,https://github.com/linkedin/shiv,,"shiv is a command line utility for building fully self contained Python zipapps as outlined in PEP 441, but with all..",18,True,zipapps,linkedin/shiv,['written-in-python'],https://github.com/linkedin/shiv,2018-03-13 18:46:23,2026-05-22 00:45:54,2026-05-22 00:45:54,220.0,1.0,111.0,26.0,138.0,49.0,83.0,1944.0,2024-11-01 19:48:43,1.0.8,2892.0,34.0,23.0,,,45.0,2.0,BSD-2-Clause,,,,
28,stickytape,https://github.com/mwilliamson/stickytape,,Convert Python packages into a single script.,18,True,miscellaneous,mwilliamson/stickytape,['written-in-python'],https://github.com/mwilliamson/stickytape,2012-10-31 11:27:37,2023-11-07 00:24:06,2023-05-01 15:04:37,137.0,,28.0,3.0,9.0,3.0,22.0,250.0,,,,13473.0,,65.0,65.0,4.0,2.0,BSD-2-Clause,stickytape,https://pypi.org/project/stickytape,13473.0,
29,XAR,https://github.com/facebookincubator/xar,,executable archive format.,16,True,miscellaneous,facebookincubator/xar,['written-in-python'],https://github.com/facebookincubator/xar,2017-06-29 18:15:26,2023-12-28 22:35:49,2023-12-28 22:31:34,105.0,,55.0,8.0,24.0,8.0,25.0,1574.0,2020-12-02 20:33:26,20.12.2,,4762.0,3.0,,,44.0,3.0,,xar,https://pypi.org/project/xar,4762.0,
30,PyStand,https://github.com/skywind3000/PyStand,,Python Standalone Deploy Environment !!.,16,True,freezers,skywind3000/PyStand,['written-in-cpp'],https://github.com/skywind3000/PyStand,2022-02-03 15:13:51,2025-04-09 06:30:56,2025-04-09 06:30:56,91.0,,141.0,16.0,19.0,40.0,52.0,1199.0,2025-03-31 02:30:48,1.1.5,16719.0,315.0,13.0,,,5.0,3.0,MIT,,,,
31,py2wasm,https://github.com/wasmerio/py2wasm,,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",16,True,compilers,wasmerio/py2wasm,['written-in-python'],https://github.com/wasmerio/py2wasm,2024-04-17 10:09:37,2024-06-05 08:20:06,2024-04-10 07:13:30,12230.0,,8.0,4.0,,18.0,,231.0,,,,215.0,,,,170.0,3.0,Apache-2.0,py2wasm,https://pypi.org/project/py2wasm,215.0,
32,python-appimage,https://github.com/niess/python-appimage,,AppImage distributions of Python.,15,True,freezers,niess/python-appimage,['written-in-python'],https://github.com/niess/python-appimage,2020-03-29 10:04:06,2025-07-06 03:57:17,2025-07-02 10:49:59,209.0,,32.0,4.0,19.0,16.0,60.0,221.0,,,44418.0,4904.0,13.0,,,11.0,3.0,GPL-3.0,python-appimage,https://pypi.org/project/python-appimage,3516.0,
33,PyCrucible,https://github.com/razorblade23/PyCrucible,,"A robust, cross-platform builder and launcher for Python apps using UV. Built with Rust.",14,True,launchers,razorblade23/PyCrucible,['written-in-rust'],https://github.com/razorblade23/PyCrucible,2025-03-19 11:52:02,2026-06-18 21:21:40,2026-04-13 18:04:06,283.0,1.0,5.0,6.0,24.0,9.0,28.0,207.0,2026-03-22 08:09:57,0.4.6-fix1,752.0,47.0,48.0,3.0,3.0,4.0,3.0,,,,,
34,portable-python,https://github.com/bjia56/portable-python,,Portable Python binaries.,14,True,miscellaneous,bjia56/portable-python,['written-in-python'],https://github.com/bjia56/portable-python,2023-09-26 04:06:45,2026-06-22 17:32:45,2026-03-10 22:44:06,506.0,,6.0,2.0,166.0,,3.0,85.0,2025-11-19 12:17:39,cpython-v3.9.25-build.0,20218.0,879.0,100.0,13.0,13.0,4.0,3.0,Apache-2.0,,,,
35,zipapps,https://github.com/ClericPy/zipapps,,"Package your python code into an executable zip file (with the requirements). Based on pure python zipapp, for..",14,True,zipapps,ClericPy/zipapps,['written-in-python'],https://github.com/ClericPy/zipapps,2020-10-18 10:50:52,2026-04-25 17:30:06,2026-04-25 17:29:58,224.0,8.0,6.0,2.0,1.0,,31.0,81.0,2026-04-02 14:26:21,2026.4.2,119.0,2919.0,28.0,,,2.0,3.0,MIT,zipapps,https://pypi.org/project/zipapps,2918.0,
